defect_id,source_system,department,section,severity,days_overdue,asset_age_years,past_failure_count,deferred_count,calculated_risk_score
DEF-2026-0320,TMS,Engineering,NDLS-GZB,4,24,6.6,8,4,100.0
DEF-2026-0321,TMS,Engineering,GZB-ALJN,5,1,2.4,1,6,100.0
DEF-2026-0322,TDMS,TRD,DLI-DEC,1,28,17.1,1,1,48.6
DEF-2026-0323,TDMS,TRD,GZB-ALJN,2,159,28.4,8,4,100.0
DEF-2026-0324,TMS,Engineering,NDLS-GZB,3,0,10.2,4,1,69.6
DEF-2026-0325,TDMS,TRD,GZB-ALJN,1,160,22.4,2,3,100.0
DEF-2026-0326,TMS,Engineering,DEC-GGN,2,12,11.8,1,6,86.4
DEF-2026-0327,TMS,Engineering,NDLS-GZB,1,157,32.3,8,5,100.0
DEF-2026-0328,TMS,Engineering,NZM-FDB,2,12,33.7,7,1,90.7
DEF-2026-0329,TMS,Engineering,NDLS-GZB,4,48,36.5,5,1,100.0
DEF-2026-0330,TDMS,TRD,NDLS-PWL,2,3,30.3,1,0,43.4
DEF-2026-0331,TMS,Engineering,NZM-FDB,3,3,43.9,5,1,90.4
DEF-2026-0332,TMS,Engineering,NZM-FDB,4,23,32.7,4,6,100.0
DEF-2026-0333,TMS,Engineering,GZB-MTC,3,134,24.0,2,6,100.0
DEF-2026-0334,TMS,Engineering,NDLS-GZB,2,15,7.8,1,5,79.1
DEF-2026-0335,TDMS,TRD,GZB-ALJN,2,0,31.2,2,2,62.5
DEF-2026-0336,TDMS,TRD,DLI-DEC,3,157,10.7,7,3,100.0
DEF-2026-0337,SMMS,S & T,NZM-FDB,4,17,34.9,6,0,100.0
DEF-2026-0338,TMS,Engineering,NDLS-PWL,4,14,9.6,4,5,100.0
DEF-2026-0339,TMS,Engineering,GZB-MTC,1,22,6.7,7,5,100.0
DEF-2026-0340,TMS,Engineering,DEC-GGN,4,16,23.3,6,4,100.0
DEF-2026-0341,TDMS,TRD,NDLS-GZB,2,1,7.5,5,2,70.1
DEF-2026-0342,TDMS,TRD,NDLS-GZB,3,12,44.7,6,2,100.0
DEF-2026-0343,SMMS,S & T,DLI-DEC,1,20,41.1,1,6,90.9
DEF-2026-0344,TMS,Engineering,NZM-FDB,1,17,30.3,6,4,97.3
DEF-2026-0345,TMS,Engineering,GZB-ALJN,3,36,18.2,6,2,100.0
DEF-2026-0346,TDMS,TRD,DLI-DEC,1,21,23.6,5,1,69.0
DEF-2026-0347,TMS,Engineering,NDLS-GZB,2,50,25.0,4,2,100.0
DEF-2026-0348,TMS,Engineering,DEC-GGN,3,25,43.2,1,4,100.0
DEF-2026-0349,TMS,Engineering,DLI-DEC,3,16,16.9,1,5,95.4
DEF-2026-0350,SMMS,S & T,GZB-MTC,2,21,19.8,4,4,96.5
